     tau         EL         x1         y1         z1         x2         y2         z2
   17200   -2.65581    0.19714   -0.54025   -0.53365   -0.66073    0.45401   -0.16384 
   17300   -3.45770    0.09857    0.15064    0.14430   -0.16817    0.54949    0.59567 
   17400   -3.06904    0.26399   -0.33633   -0.59333    0.56359    2.11182   -0.07669 
   17500   -2.55635    0.13428    0.01853   -0.03337   -1.07548   -0.72932    0.31295 
   17600   -3.60926   -0.16066    1.02421   -0.44096   -0.02205    0.06610   -0.09296 
   17700   -3.24889    0.00205   -0.87471    2.28404    0.18406    0.64256    0.35578 
   17800   -2.23717    0.33856    0.11318   -0.07163   -0.45134    0.03991    0.06550 
   17900   -2.87423   -0.74671    0.39501   -0.45748   -0.66087   -0.13334    0.70522 
   18000   -2.84815    0.47994   -0.32004   -0.53504   -0.13760   -0.77896    0.04429 
   18100   -2.57538   -0.45005   -0.49189   -0.11535    0.30680   -0.18989    0.21656 
   18200   -2.66100   -0.19889    0.24685   -0.93483   -0.10882   -0.63692    0.38121 
   18300   -3.00807   -0.19208    0.37530   -0.27485    0.23113    0.45665   -0.20582 
   18400   -3.27305    0.14676    0.56579    0.55847    0.03642    0.64213    0.16135 
   18500   -3.69049    1.62923   -0.77101   -0.82318    0.43462   -0.02774   -0.15905 
   18600   -2.63622   -0.20697    0.05786    0.10491    0.94064    0.42741    0.30664 
   18700   -2.70963    0.16916   -0.25890   -0.07694    0.01953   -0.10048    0.15416 
   18800   -3.10775    0.34025   -0.07218   -0.09314    0.38964   -0.39879    0.18802 
   18900   -2.76152   -0.11793   -1.40253    0.31724   -0.20353    0.69606   -0.06124 
   19000   -2.38494    0.30130    0.39669    0.12840   -0.09402   -0.04194   -0.30964 
   19100   -2.82454   -0.45586    0.84634   -0.80230    0.19009    0.09448    0.09415 
   19200   -2.73876   -0.44974    1.38368   -0.84669    0.14169   -0.29298    0.01358 
   19300   -2.97630    0.80090    0.20317    0.16810   -0.76263    0.23399    1.50406 
   19400   -2.88074   -0.86412   -0.21009   -0.07578    0.24774    0.54660    1.28666 
   19500   -2.51658   -0.10909   -0.17250   -0.14119    0.33913    0.01291   -0.23104 
   19600   -2.70404    0.43287    0.73578   -0.54081   -0.00590   -0.92227    0.08877 
   19700   -3.14242    0.54277   -1.01170   -0.96566    1.20973    0.08389   -0.57695 
   19800   -3.57588   -0.84051    1.52411   -0.29592    0.00146    0.51796   -0.22938 
   19900   -2.69436    0.82520    0.01240   -1.32290   -0.26440    0.07843    0.18869 
   20000   -2.62085   -0.03832   -0.46196    0.68695   -0.52963    0.48132   -0.35776 
   20100   -2.41820    0.01643    0.33650    0.14133    0.10288   -0.36640    0.32252 
   20200   -2.78970   -0.10683    1.10422   -0.46791   -0.60087   -0.28218    0.56469 
   20300   -3.21477    0.59692    0.23171   -0.59866    1.22291    0.92627    0.23790 
   20400   -3.35085   -0.35356   -0.39830   -0.20669   -0.13424   -0.68535   -0.74416 
   20500   -3.49206   -0.18531   -1.85418    0.14949   -0.24534   -0.71521   -0.39029 
   20600   -3.32274    0.18798    0.24573   -1.36783   -0.31617    0.11995   -0.30916 
   20700   -3.38293    0.19745    0.13056   -0.09791    0.59312    0.26050    0.15952 
   20800   -2.68817   -0.29370   -0.28180    0.78502    0.41022    0.42700   -0.90843 
   20900   -3.54464    0.41674   -1.99001   -0.77887   -0.26680   -0.39561   -0.22708 
   21000   -3.73247   -0.88610   -1.37931   -0.46205   -0.14507   -0.16283   -0.09198 
   21100   -3.06848    0.75316   -0.46832   -0.92212   -0.15336    0.22603   -0.59159 
   21200   -3.01760    0.04343    0.05835   -0.39804   -0.07422   -0.43811   -0.45150 
   21300   -2.70411   -0.00588    0.64589    0.77206   -0.05227    0.22360   -0.34700 
   21400   -3.31720    0.13070   -0.23729    0.06396    0.68813   -0.18644    0.36587 
   21500   -2.20900    0.45611   -0.24087    0.03267   -0.18440    0.16201    0.05521 
   21600   -2.73038    0.81170    0.07631   -1.09215   -0.30457   -0.16764    0.01880 
   21700   -2.93242   -0.01957    1.04690   -1.20738    0.49395   -1.03676    0.27680 
   21800   -3.22820   -1.11234    0.22726    0.18144   -0.59675    0.71461    0.17817 
   21900   -2.91582   -0.27162   -0.52184   -0.34710   -0.40259    0.01851   -0.05190 
   22000   -2.62494    0.04363   -0.08009    0.98327    0.38637   -0.17054   -0.50581 
   22100   -2.90137   -0.32720   -1.48785    0.37612    0.07954    0.09986    0.16256 
   22200   -3.10809   -0.98903    0.62638    1.30336    1.17067    0.71342   -1.33688 
   22300   -2.58413    0.43584    0.05471    0.72460    0.14214   -0.35367   -0.41359 
   22400   -2.81041   -0.36120    0.13714    0.10873    0.15495    0.80405   -0.12409 
   22500   -3.15414   -1.01285    0.47076    0.20194    1.66069   -2.15899    0.41324 
   22600   -3.06685   -0.74559    0.41647   -0.19809   -0.55222    0.30679    0.46579 
   22700   -2.61954    0.01834   -0.17375   -0.62545    0.58452    0.31769    0.10358 
   22800   -2.81226    0.50339    0.07043    0.22511   -0.47551    0.09484    0.93222 
   22900   -2.73388    0.36961   -0.72540   -0.91548    0.35035    0.12355    0.46536 
   23000   -2.78075   -0.88448    0.59813   -0.41490   -0.25155   -0.61917    0.17548 
   23100   -2.77313   -0.38956   -0.57946   -0.00559   -0.64131    0.33685   -0.28563 
   23200   -2.58889   -0.02410    0.30389    0.16323   -0.45925   -0.42882    0.34444 
   23300   -3.46360    0.03186    0.69616    0.49893    0.23075    0.40619    0.38324 
   23400   -2.79358    0.73634    0.14439   -0.15300   -0.04352    0.25996   -0.04382 
   23500   -2.54952    0.07872   -0.25082   -0.02730   -0.63287    0.94908   -0.36746 
   23600   -2.80540    0.48402   -0.33486   -0.11850    0.37696    0.33058   -0.38622 
   23700   -2.91726   -0.49136   -0.77637   -0.91492   -0.53419    0.57646   -0.23064 
   23800   -3.12521    0.27654   -0.21274    0.55779   -0.06947   -0.64783    0.48057 
   23900   -2.67086   -0.39190    0.67519    0.43332    0.82974   -0.39959   -0.27788 
   24000   -2.72744    0.03451    0.43079   -0.92438   -0.35697   -0.07317    0.05621 
   24100   -2.95236   -0.46632   -0.60597   -0.74110   -0.73977    1.18690   -0.33613 
   24200   -2.86012   -0.52849   -0.49384   -0.15464    0.30036   -0.68913    0.76141 
   24300   -3.62277   -0.13156   -0.33886   -0.50352   -0.07141   -0.04477   -0.11902 
   24400   -2.90658    0.44734    0.69555    0.88231    0.93441   -0.66144   -0.14180 
   24500   -3.04583   -0.97844   -0.62801    0.71813    0.19082    0.01237    0.58063 
   24600   -2.44697   -0.23280   -0.16946    0.63930   -0.14314    0.25259   -0.39790 
   24700   -3.17044    1.90019   -0.46615   -1.18447   -1.43831   -0.82144    0.57652 
   24800   -2.72525   -0.31892    0.73349    1.01493    0.48034   -0.40529   -0.15745 
   24900   -2.39380    0.11720    0.56003   -0.25214    0.07384   -0.20985    0.36835 
   25000   -2.84794   -0.08444   -0.75300   -0.62273    0.81975   -0.18728   -0.01527 
   25100   -2.42593   -0.42163   -0.12082   -0.28922    0.49756    0.12935   -0.16523 
   25200   -3.28951    0.13358   -1.50984    1.20517    0.30816    0.08768    0.37622 
   25300   -2.62173   -0.25806   -0.11713   -0.40131    0.85884   -0.17110   -0.07618 
   25400   -2.82356   -0.20759   -0.44170    0.85227   -0.00933    0.71751    0.39196 
   25500   -2.67364    0.10222   -0.23851    1.21273   -0.07268    0.12351   -0.06461 
   25600   -3.09786    1.03842    1.70608    2.33625   -0.22720   -0.29664   -0.41497 
   25700   -2.70329    0.17093    0.16557   -0.40272   -0.23490   -0.17518   -0.29153 
   25800   -3.06279   -1.15713   -0.08254    0.23091   -0.47657    0.03111   -0.56619 
   25900   -2.84475   -0.29162    0.88295   -0.26710   -0.13064    0.27922    0.71682 
   26000   -2.85372    0.23709    0.05041    0.31248   -0.06525    0.54860    0.25796 
   26100   -2.70591    0.30647   -0.32637    0.66719   -0.34396   -0.12179    0.06260 
   26200   -3.42049   -0.05264   -0.14154   -1.19226   -1.10662    0.81743   -1.75071 
   26300   -2.11721    0.11745    0.16974    0.07261   -0.14178   -0.25668    0.08347 
   26400   -3.22472   -0.50864   -0.17361    0.64837    0.03474   -0.23624    0.28970 
   26500   -3.08302   -0.09330   -0.64450    0.79149    1.69689   -0.31477   -1.47876 
   26600   -2.86131    0.13127   -0.14701   -0.07352    0.42786    0.94959   -0.55470 
   26700   -2.80841   -0.13512   -0.00381    1.23522   -0.35529   -0.59292   -0.74641 
   26800   -2.60077   -0.18192    0.18218    0.50803   -0.08240    0.48753   -0.29468 
   26900   -3.39747   -0.50854    0.05687   -0.14159   -1.51760    0.54861    1.76085 
   27000   -2.63362    0.80355    0.52717    1.14887   -0.10004   -0.13944   -0.22696 
   27100   -2.88641   -0.91481   -0.26849    0.46650    0.66254    1.19031   -0.68311 
   27200   -2.98247   -0.38868   -0.68192    0.94985    0.76151   -0.48247    0.32765 
   27300   -2.75758    0.03504    0.06671    0.23589    0.96971   -0.47298   -1.16083 
   27400   -2.78493    0.20798   -0.26125    1.52579    0.24833   -0.01096   -0.57929 
   27500   -2.57661   -0.57619   -0.04677   -0.09168   -0.01062    0.26077    0.20657 
   27600   -3.24763    0.24403   -0.68963    0.33836    0.17591   -0.45796   -0.12252 
   27700   -3.43669    0.46488    1.00099   -0.10406    0.00643    0.52302   -0.25603 
   27800   -2.55299   -0.20207    0.60905    0.44806   -0.31945   -0.52601   -0.17437 
   27900   -3.00537   -0.88487    0.09409   -0.90228   -0.93745   -0.66328    1.07173 
   28000   -2.69111   -0.28408   -0.89031    0.74228   -0.33258    0.34673   -0.25119 
   28100   -3.46047   -1.03192   -0.22605   -0.06929   -1.00486   -0.47734    0.10952 
   28200   -2.66428   -0.18946   -0.48694   -0.17121    0.25732   -0.15998    0.08866 
   28300   -2.70275    0.33255   -0.89635   -0.26831    0.41145    0.26020    0.30499 
   28400   -3.07726    0.94763   -0.22004    0.47664    0.04468   -0.42651    0.48661 
   28500   -2.77042   -0.16272   -0.64609   -0.84685    0.33521    0.36763   -0.21456 
   28600   -3.06364   -0.46207   -1.69037   -1.50032    0.59655    0.52999   -0.14079 
   28700   -3.49384    0.11920   -0.03018    0.15383    0.55207   -0.48649    0.31475 
   28800   -2.76355   -0.14929    0.00400   -0.31042   -0.50757    0.12742    0.07719 
   28900   -2.49821   -0.37659   -0.32771   -0.53572    0.24971   -0.02038    0.59798 
   29000   -2.65232    0.13371    0.71146   -0.38020    0.41777   -0.76587    0.43227 
   29100   -3.27454   -0.44228   -0.93415    0.69308   -0.37662   -0.08303    0.04420 
   29200   -2.78118    0.52340    0.45644   -0.20851   -0.27846    0.35582   -0.29932 
   29300   -2.48188   -0.03332   -0.00367    0.34212    0.22741    0.07967    0.01084 
   29400   -2.71110    0.04278   -1.05350   -0.01680    0.61732    0.36528   -0.00337 
   29500   -2.94375   -0.57816    0.59715    0.16831   -0.11424    0.17615    0.74622 
   29600   -2.91188    0.26406    1.72948   -0.14616   -0.51662   -0.20866   -0.13166 
   29700   -2.86869   -0.58523   -0.21225   -0.51196   -0.01842    1.20241   -0.29832 
   29800   -2.90979    0.15946   -0.21398   -0.14932   -0.26306    0.57299   -1.01165 
   29900   -2.84683    1.02466   -0.76734    0.89441   -0.00623   -0.09341   -0.44235 
   30000   -2.69105    0.17424   -0.23256   -0.34896   -1.03791    0.13968    0.95046 
   30100   -2.67601   -0.50920    0.03434    0.08711    0.78427    0.68144   -0.62277 
   30200   -2.95461    0.30797    0.72188    0.06528    0.32729    0.03767   -0.19322 
   30300   -2.49341   -0.35953   -0.05549    0.01318    1.03930   -0.07520    0.09157 
   30400   -2.99531   -0.89611   -0.14260   -0.44954   -0.05681   -1.16768   -0.40779 
   30500   -3.08702    0.40977   -1.03122    0.17557    0.33077   -0.01622   -0.10998 
   30600   -2.76235    0.33165    0.39907    0.30067    0.60224   -0.46984    0.12805 
   30700   -2.60950   -0.38302    0.03272   -0.44882    0.06475   -0.03519   -0.03043 
   30800   -3.42182    0.99008   -1.06241   -0.48320    0.67596   -0.33719    0.15290 
   30900   -2.74049    0.16962    0.35526    0.09633    0.67054   -1.09013    0.14029 
   31000   -2.85932   -0.36361   -0.20177    0.03094    0.00557   -0.16925    0.12787 
   31100   -2.84282   -0.10344   -0.94937    0.86574   -0.18782    0.13180    0.02809 
   31200   -3.70804    0.39801   -1.28956    0.52038    0.23082   -0.66421    0.33851 
   31300   -3.32045   -0.01598   -0.60744    0.53496   -0.78295   -0.83263    0.57463 
