     tau         EL         x1         y1         z1         x2         y2         z2
    1740   -3.15347    1.37609   -0.87446    1.01022   -0.31649   -0.45749    0.16442 
    1750   -3.02910    0.65610    0.60180    1.57818   -0.31649    0.05697   -1.24272 
    1760   -3.09520    0.65610   -0.52577    1.57818    0.39305    0.05697   -0.14607 
    1770   -3.22111    0.64559   -0.61201   -0.74504    0.52414    0.05697   -0.14607 
    1780   -2.66603    0.15740   -0.24871   -0.74504    0.52414    0.07532    0.73294 
    1790   -3.59332    0.15740   -0.10404    0.23299    0.94663   -0.07099    0.73294 
    1800   -3.68116    0.15740   -0.10404    0.23299    0.94663   -0.69598    0.89921 
    1810   -3.09766    0.15740   -1.39126   -0.75503    0.73572   -0.69598    0.54113 
    1820   -2.93457    0.33969   -0.18771   -0.75503    0.73572   -0.69598    0.11080 
    1830   -2.78728   -0.49949    0.02263    0.79017    0.68669   -0.69598    0.11080 
    1840   -2.66442   -0.20429    0.70300    0.30352    0.77515   -0.11812   -0.07645 
    1850   -2.88353    0.40457    0.70300    0.00069    0.77515   -0.11812    0.15723 
    1860   -2.75938    0.24296    0.50649    0.14507    0.77515   -0.28300   -0.33965 
    1870   -2.56512   -0.32127    0.50649   -0.35669    0.71012   -0.28300    0.14454 
    1880   -2.48030   -0.32127   -0.07590   -0.35669    0.71012   -0.17561    0.14454 
    1890   -2.93008   -0.32127   -0.07590    0.90487    0.71012   -0.68445   -1.37482 
    1900   -2.94753   -0.32127   -0.42068    0.90487   -0.79198   -0.11365   -1.37482 
    1910   -3.00273   -1.27354   -0.54901    0.90487    0.85836    0.91553   -0.41307 
    1920   -3.03070   -1.27354    0.90951    0.90487    0.13764    0.41175   -0.41307 
    1930   -2.97678    0.66308   -0.56464    0.90487    0.13764   -0.99856   -0.41307 
    1940   -3.21901    0.66308   -0.09623    0.90487   -0.11177   -0.11932    0.53574 
    1950   -2.58534   -0.18690   -0.09623    0.28508   -0.44269   -0.11932   -0.53702 
    1960   -2.69247   -0.15026    0.41118    0.28508   -0.01116    0.41902   -0.53702 
    1970   -2.68632   -0.27103    0.44737    0.28508    0.51812    0.41902   -0.53702 
    1980   -2.84976   -1.10805   -0.77589    0.71453    0.51812    0.42761   -0.53702 
    1990   -2.78873   -0.48293   -0.77589    0.71453    0.51812    0.42761   -0.76853 
    2000   -2.82439   -0.04289   -0.77589   -0.45579   -0.04996   -0.37335    0.45121 
    2010   -2.95187   -0.04289   -0.77589    0.00872   -0.49520   -0.37335    0.45121 
    2020   -2.73571    0.08767   -0.77589    0.03815    0.38348   -0.00497   -0.49177 
    2030   -2.64995    0.08767   -0.77589    0.21821   -0.33137   -0.00497   -0.49177 
    2040   -2.72916   -0.23915   -0.77589    0.76811   -0.33137   -0.00497   -0.49177 
    2050   -2.74784   -0.23915   -0.77589    0.21617   -0.33137    0.96963    0.39616 
    2060   -2.89313   -0.23915   -0.77589    0.21617   -0.33137   -0.40697   -0.76487 
    2070   -2.71861   -0.27403   -0.03766    0.21617   -0.33137   -0.40697   -0.76487 
    2080   -3.15287   -1.14327   -0.04850    0.05078   -0.45265    0.50090   -0.02491 
    2090   -3.11365   -0.36741   -1.38063   -0.80203    0.61494    0.76024   -1.43891 
    2100   -3.34294    1.12082   -1.38063   -0.80203    1.64983   -0.11702   -1.88167 
    2110   -3.25908    0.11495   -1.38063   -0.56061    1.64983    0.70555   -1.88167 
    2120   -3.04037   -0.51426   -1.38063   -0.56061    0.96343    0.32235   -0.98454 
    2130   -3.57596   -0.51426   -0.17390   -0.56061   -0.74012   -0.69522   -0.98454 
    2140   -3.04576   -0.03075   -0.17390   -1.10425   -0.74012   -0.92372   -0.41439 
    2150   -2.78984   -0.03075    0.30519   -0.00094    0.36680    0.09194   -0.70847 
    2160   -2.88768   -0.03075    0.30868    0.03375    0.36680    0.09194    0.82033 
    2170   -2.47030   -0.03075    0.30868   -0.09825    0.36680   -0.01840   -0.07643 
    2180   -3.49057   -0.46549    0.30868   -1.16091   -0.17239   -0.01840   -0.89694 
    2190   -3.20021    1.01223    0.30868   -1.16091    0.28804    0.92789   -0.40930 
    2200   -2.98631    1.01223   -0.31496   -1.16091    0.28804    0.92789    0.75065 
    2210   -3.03597    1.01223    0.56925    0.23636   -0.08757    0.92789    0.75065 
    2220   -2.74466   -0.22999    0.56925   -1.01832   -0.41709   -0.30893    0.55049 
    2230   -2.73333   -0.22999    0.56925   -0.11867    0.34631    0.32454    0.55049 
    2240   -2.86771    0.91821    0.96020   -0.11867    0.34631   -0.56185   -0.15320 
    2250   -2.87276   -0.15966   -0.17080   -0.87027    0.11026    0.32407   -0.15320 
    2260   -2.71323    0.06931   -0.17080   -0.51336    0.11026    0.32407   -0.19384 
    2270   -2.49921    0.15351   -0.17080   -0.17646    0.11877    0.61182   -0.12237 
    2280   -2.49346    0.15351   -0.73215   -0.00833   -0.00284    0.61182   -0.12237 
    2290   -2.49410    0.15351   -0.73215   -0.00833   -0.00284    0.63249    0.03158 
    2300   -3.30906    0.15351    0.41461    0.00876   -0.04281    0.27130    0.03158 
    2310   -2.62337    0.15351    0.41461    0.00876   -0.04281   -0.89589   -0.68576 
    2320   -2.57766    0.15351    0.41461    0.00876   -0.39856   -0.89589   -0.48642 
    2330   -2.81685    0.15351    0.41461   -0.42123   -0.39856   -0.00741   -0.48642 
    2340   -2.64556    0.33986   -0.35940    0.15114    0.14730   -0.00741   -0.72888 
    2350   -2.64556    0.33986   -0.35940    0.15114    0.14730   -0.00741   -0.72888 
    2360   -2.48921   -0.15649   -0.35940    0.15114    0.14730    0.27167   -0.72888 
    2370   -2.74158   -0.15649   -0.35940   -0.82279    0.64229    0.27167   -0.12291 
    2380   -2.73700    0.10194   -0.35940   -0.33878    0.90517    0.27167    0.23190 
    2390   -3.57532    0.10194   -0.35940    0.69319    0.03364   -0.02209    0.23190 
    2400   -2.48674    0.10194   -0.35940    0.69319    0.03364   -0.02209   -0.51701 
    2410   -2.67035   -1.06379   -0.35940    0.69319    0.30695   -0.02209    0.01884 
    2420   -2.78979   -1.06379   -0.33521   -0.87935    0.30695   -0.20027    0.01884 
